row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,stim_duration,isi
0,270,270,0.8,1.0,no_target,750,1850
1,90,270,0.4,1.0,left,750,1850
2,270,270,1.0,0.8,no_target,750,1850
3,270,270,1.0,1.0,no_target,650,1750
4,270,90,1.0,0.8,right,650,1750
5,270,90,0.68,0.68,right,650,1650
6,270,270,0.85,0.85,no_target,650,1650
7,270,90,1.0,0.34,right,550,1550
8,270,270,0.68,0.68,no_target,550,1550
9,270,90,0.68,0.85,right,550,1450
10,270,90,0.68,0.68,right,550,1450
11,270,90,0.7,0.56,right,450,1450
12,270,270,0.28,1.0,no_target,450,1350
13,90,270,0.56,0.7,left,450,1350
14,90,270,0.56,0.56,left,450,1350
15,270,90,0.7,0.7,right,350,1250
16,270,90,0.7,0.7,right,350,1250
17,270,90,0.4,0.5,right,250,1050
18,270,270,0.2,0.9,no_target,250,1050
19,90,270,0.9,0.2,left,250,1050
