row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,condition
0,270,270,0.9,0.15,no_target,1
1,270,90,0.25,0.25,right,1
2,270,270,0.9,0.15,no_target,1
3,90,270,0.4,0.4,left,1
4,270,270,0.25,0.4,no_target,1
5,270,270,0.9,0.15,no_target,1
6,90,270,0.9,0.15,left,1
7,270,90,0.9,0.15,right,1
8,270,270,0.25,0.25,no_target,1
9,270,90,0.25,0.25,right,1
10,90,270,0.9,0.15,left,1
11,90,270,0.9,0.15,left,1
12,270,90,0.25,0.4,right,1
13,270,90,0.9,0.15,right,1
14,270,90,0.4,0.4,right,1
15,270,270,0.9,0.15,no_target,1
16,270,270,0.9,0.15,no_target,1
17,270,90,0.4,0.4,right,1
18,270,270,0.4,0.4,no_target,1
19,270,270,0.4,0.4,no_target,1
20,270,90,0.25,0.4,right,1
21,270,90,0.9,0.15,right,1
22,90,270,0.9,0.15,left,1
23,90,270,0.25,0.4,left,1
24,270,90,0.4,0.25,right,1
25,90,270,0.25,0.4,left,1
26,270,90,0.9,0.15,right,1
27,90,270,0.4,0.4,left,1
28,270,90,0.9,0.15,right,1
29,270,270,0.9,0.15,no_target,1
30,90,270,0.25,0.25,left,1
31,90,270,0.25,0.25,left,1
32,270,270,0.4,0.4,no_target,1
33,270,270,0.9,0.15,no_target,1
34,90,270,0.9,0.15,left,1
35,270,90,0.25,0.25,right,1
36,270,90,0.25,0.25,right,1
37,270,90,0.4,0.25,right,1
38,90,270,0.25,0.4,left,1
39,270,270,0.25,0.25,no_target,1
40,90,270,0.9,0.15,left,1
41,270,90,0.9,0.15,right,1
42,90,270,0.4,0.25,left,1
43,270,270,0.4,0.25,no_target,1
44,270,270,0.4,0.25,no_target,1
45,270,270,0.25,0.4,no_target,1
46,270,90,0.25,0.4,right,1
47,270,270,0.9,0.15,no_target,1
48,90,270,0.25,0.4,left,1
49,270,90,0.25,0.25,right,1
50,270,90,0.9,0.15,right,1
51,270,270,0.4,0.4,no_target,1
52,270,270,0.9,0.15,no_target,1
53,270,90,0.25,0.4,right,1
54,90,270,0.4,0.4,left,1
55,90,270,0.9,0.15,left,1
56,270,90,0.25,0.4,right,1
57,90,270,0.25,0.4,left,1
58,90,270,0.4,0.25,left,1
59,270,270,0.25,0.4,no_target,1
60,270,90,0.4,0.25,right,1
61,90,270,0.4,0.25,left,1
62,270,270,0.25,0.4,no_target,1
63,270,270,0.4,0.25,no_target,1
64,270,270,0.25,0.25,no_target,1
65,270,90,0.4,0.4,right,1
66,270,90,0.4,0.4,right,1
67,90,270,0.9,0.15,left,1
68,90,270,0.9,0.15,left,1
69,90,270,0.4,0.4,left,1
70,270,270,0.4,0.25,no_target,1
71,270,90,0.9,0.15,right,1
72,270,90,0.9,0.15,right,1
73,270,270,0.25,0.4,no_target,1
74,270,270,0.9,0.15,no_target,1
75,270,90,0.4,0.4,right,1
76,90,270,0.9,0.15,left,1
77,270,270,0.9,0.15,no_target,1
78,90,270,0.25,0.25,left,1
79,270,270,0.25,0.25,no_target,1
80,270,90,0.9,0.15,right,1
81,270,270,0.4,0.4,no_target,1
82,270,270,0.9,0.15,no_target,1
83,90,270,0.4,0.4,left,1
84,90,270,0.4,0.25,left,1
85,90,270,0.25,0.25,left,1
86,90,270,0.9,0.15,left,1
87,270,90,0.4,0.25,right,1
88,90,270,0.9,0.15,left,1
89,90,270,0.25,0.25,left,1
90,270,270,0.9,0.15,no_target,1
91,270,270,0.25,0.25,no_target,1
92,270,90,0.9,0.15,right,1
93,270,90,0.9,0.15,right,1
94,270,90,0.9,0.15,right,1
95,270,90,0.4,0.25,right,1
96,270,270,0.4,0.25,no_target,1
97,90,270,0.9,0.15,left,1
98,90,270,0.4,0.25,left,1
