row_id,ori_left,ori_right,coherence_left,coherence_right,correct_response,stim_duration,isi
0,270,90,0.8,0.5,right,750,1850
1,270,270,0.5,0.8,no_target,750,1850
2,270,90,0.8,0.8,right,750,1850
3,270,90,0.8,0.5,right,750,1850
4,270,90,0.5,0.8,right,750,1850
5,270,270,1.0,0.3,no_target,750,1850
6,270,90,1.0,0.3,right,750,1850
7,90,270,1.0,0.3,left,750,1850
8,90,270,0.8,0.8,left,750,1750
9,270,90,0.5,0.5,right,750,1750
10,270,270,1.0,0.3,no_target,750,1750
11,270,270,0.3,1.0,no_target,750,1750
12,90,270,0.3,1.0,left,650,1750
13,270,270,0.5,0.5,no_target,650,1750
14,90,270,0.3,1.0,left,650,1750
15,270,270,0.8,0.8,no_target,650,1750
16,270,90,0.8,0.8,right,650,1650
17,90,270,1.0,0.3,left,650,1650
18,90,270,0.26,1.0,left,650,1650
19,270,270,0.26,1.0,no_target,650,1650
20,90,270,0.42,0.42,left,650,1650
21,270,270,0.68,0.42,no_target,650,1650
22,90,270,0.42,0.68,left,650,1650
23,270,90,0.68,0.68,right,650,1650
24,90,270,0.42,0.68,left,550,1550
25,270,270,0.42,0.42,no_target,550,1550
26,270,90,1.0,0.26,right,550,1550
27,270,90,0.68,0.42,right,550,1550
28,270,90,0.42,0.42,right,550,1550
29,270,90,0.26,1.0,right,550,1550
30,270,90,0.26,1.0,right,550,1550
31,90,270,0.68,0.68,left,550,1550
32,270,270,0.68,0.68,no_target,550,1450
33,270,90,0.42,0.42,right,550,1450
34,270,90,0.68,0.42,right,550,1450
35,270,90,1.0,0.26,right,550,1450
36,90,270,0.35,0.35,left,450,1450
37,270,90,0.56,0.56,right,450,1450
38,270,270,1.0,0.21,no_target,450,1450
39,270,90,0.35,0.56,right,450,1450
40,270,270,0.56,0.35,no_target,450,1350
41,90,270,1.0,0.21,left,450,1350
42,270,90,1.0,0.21,right,450,1350
43,270,270,0.35,0.35,no_target,450,1350
44,90,270,0.56,0.56,left,450,1350
45,270,90,0.21,1.0,right,450,1350
46,270,270,0.21,1.0,no_target,450,1350
47,270,90,0.56,0.56,right,450,1350
48,270,270,1.0,0.21,no_target,350,1250
49,90,270,0.35,0.56,left,350,1250
50,90,270,0.35,0.35,left,350,1250
51,270,90,1.0,0.21,right,350,1250
52,270,270,0.35,0.56,no_target,350,1250
53,270,270,0.35,0.56,no_target,350,1250
54,90,270,0.48,0.48,left,350,1250
55,270,270,0.3,0.48,no_target,350,1250
56,90,270,0.48,0.3,left,350,1150
57,270,270,0.3,0.3,no_target,350,1150
58,270,270,0.3,0.48,no_target,350,1150
59,270,90,0.3,0.48,right,350,1150
60,270,270,0.18,1.0,no_target,250,1150
61,270,270,0.3,0.3,no_target,250,1150
62,270,270,1.0,0.18,no_target,250,1150
63,90,270,0.3,0.48,left,250,1150
64,90,270,0.3,0.48,left,250,1050
65,270,90,0.3,0.48,right,250,1050
66,270,270,0.48,0.3,no_target,250,1050
67,90,270,0.48,0.3,left,250,1050
68,270,270,0.18,1.0,no_target,250,1050
69,90,270,0.48,0.3,left,250,1050
70,270,270,0.48,0.3,no_target,250,1050
71,90,270,0.3,0.3,left,250,1050
72,90,270,0.4,0.4,left,250,1050
73,270,90,0.15,0.9,right,250,1050
74,270,90,0.9,0.15,right,250,1050
75,270,90,0.25,0.25,right,250,1050
76,90,270,0.9,0.15,left,250,1050
77,90,270,0.9,0.15,left,250,1050
